;Activity;Sensor_Added;Duration;Timestamp;LC_Activity;LC;Case
0;[24];24;1.98;2007-10-25 18:34:29.754821;24;s;1.0
1;[24, 25];25;5.44;2007-10-25 18:34:31.735986;25;s;1.0
2;[24, 25, 21];21;0.34;2007-10-25 18:34:37.176169;21;s;1.0
3;[24, 21];0;1.01;2007-10-25 18:34:37.520078;25;c;1.0
4;[24];0;0.25;2007-10-25 18:34:38.527803;21;c;1.0
5;[24, 19];19;0.19;2007-10-25 18:34:38.774732;19;s;1.0
6;[24, 19, 21];21;0.46;2007-10-25 18:34:38.967722;21;s;1.0
7;[19, 21];0;1.08;2007-10-25 18:34:39.427542;24;c;1.0
8;[19, 21, 18];18;0.81;2007-10-25 18:34:40.505239;18;s;1.0
9;[19, 18];0;0.21;2007-10-25 18:34:41.319009;21;c;1.0
10;[19, 18, 17];17;0.45;2007-10-25 18:34:41.531955;17;s;1.0
11;[19, 17];0;0.64;2007-10-25 18:34:41.981838;18;c;1.0
12;[17];0;0.55;2007-10-25 18:34:42.621727;19;c;1.0
13;[17, 16];16;0.42;2007-10-25 18:34:43.173666;16;s;1.0
14;[17, 16, 15];15;0.62;2007-10-25 18:34:43.589632;15;s;1.0
15;[16, 15];0;1.91;2007-10-25 18:34:44.212585;17;c;1.0
16;[16, 15, 14];14;0.68;2007-10-25 18:34:46.127392;14;s;1.0
17;[15, 14];0;1.08;2007-10-25 18:34:46.805235;16;c;1.0
18;[15, 14, 14];14;1.45;2007-10-25 18:34:47.889966;14;s;1.0
19;[15];0;0.43;2007-10-25 18:34:49.335555;14;c;1.0
20;[15, 8];8;0.19;2007-10-25 18:34:49.769449;8;s;1.0
21;[15, 8, 9];9;0.4;2007-10-25 18:34:49.959392;9;s;1.0
22;[8, 9];0;0.99;2007-10-25 18:34:50.359273;15;c;1.0
23;[9];0;0.7;2007-10-25 18:34:51.347001;8;c;1.0
24;[];0;5.67;2007-10-25 18:34:52.046802;9;c;1.0
25;[8];8;0.83;2007-10-25 18:34:57.716266;8;s;1.0
26;[8, 9];9;0.64;2007-10-25 18:34:58.545313;9;s;1.0
27;[9];0;3.1;2007-10-25 18:34:59.190246;8;c;1.0
28;[];0;11.05;2007-10-25 18:35:02.294646;9;c;1.0
29;[15];15;0.41;2007-10-25 18:35:13.343586;15;s;1.0
30;[15, 16];16;1.3;2007-10-25 18:35:13.753451;16;s;1.0
31;[15, 16, 17];17;2.02;2007-10-25 18:35:15.057296;17;s;1.0
32;[16, 17];0;0.84;2007-10-25 18:35:17.073546;15;c;1.0
33;[17];0;16.56;2007-10-25 18:35:17.914365;16;c;1.0
34;[];0;0.67;2007-10-25 18:35:34.470836;17;c;1.0
35;[17];17;14.78;2007-10-25 18:35:35.137649;17;s;1.0
36;[];0;2.28;2007-10-25 18:35:49.915208;17;c;1.0
37;[17];17;16.83;2007-10-25 18:35:52.193944;17;s;1.0
38;[];0;7.98;2007-10-25 18:36:09.027319;17;c;1.0
39;[17];17;6.57;2007-10-25 18:36:17.007085;17;s;1.0
40;[];0;0.15;2007-10-25 18:36:23.577251;17;c;1.0
41;[17];17;13.3;2007-10-25 18:36:23.727199;17;s;1.0
42;[];0;30.15;2007-10-25 18:36:37.029347;17;c;1.0
43;[17];17;1.95;2007-10-25 18:37:07.178599;17;s;1.0
44;[17, 16];16;0.83;2007-10-25 18:37:09.125413;16;s;1.0
45;[17, 16, 15];15;3.44;2007-10-25 18:37:09.951475;15;s;1.0
