;Timestamp;SensorType;SensorID;Active;Sensor_Added;SensorActivationTime;Duration;LC;room;room_major
0;2007-10-25 18:34:29.754821;M;24;1.0;24;9.672721000000001;1.981165;s;hallway_downstairs;hallway_downstairs
1;2007-10-25 18:34:31.735986;M;25;1.0;25;5.784092;5.440183;s;hallway_downstairs;hallway_downstairs
2;2007-10-25 18:34:37.176169;M;21;1.0;21;1.351634;0.343909;s;hallway_downstairs;hallway_downstairs
3;2007-10-25 18:34:37.520078;M;25;0.0;0;;1.007725;c;hallway_downstairs;hallway_downstairs
4;2007-10-25 18:34:38.527803;M;21;0.0;0;;0.246929;c;hallway_downstairs;hallway_downstairs
5;2007-10-25 18:34:38.774732;M;19;1.0;19;3.846995;0.19299000000000002;s;hallway_downstairs;hallway_downstairs
6;2007-10-25 18:34:38.967722;M;21;1.0;21;2.351287;0.45982;s;hallway_downstairs;hallway_downstairs
7;2007-10-25 18:34:39.427542;M;24;0.0;0;;1.0776970000000001;c;hallway_downstairs;hallway_downstairs
8;2007-10-25 18:34:40.505239;M;18;1.0;18;1.476599;0.8137700000000001;s;kitchen;hallway_downstairs
9;2007-10-25 18:34:41.319009;M;21;0.0;0;;0.21294600000000002;c;hallway_downstairs;kitchen
10;2007-10-25 18:34:41.531955;M;17;1.0;17;2.6806300000000003;0.44988300000000003;s;kitchen;kitchen
11;2007-10-25 18:34:41.981838;M;18;0.0;0;;0.639889;c;kitchen;kitchen
12;2007-10-25 18:34:42.621727;M;19;0.0;0;;0.5519390000000001;c;hallway_downstairs;kitchen
13;2007-10-25 18:34:43.173666;M;16;1.0;16;3.6315690000000003;0.415966;s;kitchen;kitchen
14;2007-10-25 18:34:43.589632;M;15;1.0;15;6.769641;0.6229530000000001;s;living_room;kitchen
15;2007-10-25 18:34:44.212585;M;17;0.0;0;;1.9148070000000001;c;kitchen;kitchen
16;2007-10-25 18:34:46.127392;M;14;1.0;14;1.762574;0.6778430000000001;s;living_room;living_room
17;2007-10-25 18:34:46.805235;M;16;0.0;0;;1.0847310000000001;c;kitchen;living_room
18;2007-10-25 18:34:47.889966;M;14;1.0;14;1.445589;1.445589;s;living_room;living_room
19;2007-10-25 18:34:49.335555;M;14;0.0;0;;0.433894;c;living_room;living_room
20;2007-10-25 18:34:49.769449;M;8;1.0;8;1.577552;0.189943;s;living_room;living_room
21;2007-10-25 18:34:49.959392;M;9;1.0;9;2.08741;0.39988100000000004;s;living_room;living_room
22;2007-10-25 18:34:50.359273;M;15;0.0;0;;0.987728;c;living_room;living_room
23;2007-10-25 18:34:51.347001;M;8;0.0;0;;0.699801;c;living_room;living_room
24;2007-10-25 18:34:52.046802;M;9;0.0;0;;5.6694640000000005;c;living_room;living_room
25;2007-10-25 18:34:57.716266;M;8;1.0;8;1.47398;0.8290470000000001;s;living_room;living_room
26;2007-10-25 18:34:58.545313;M;9;1.0;9;3.749333;0.6449330000000001;s;living_room;living_room
27;2007-10-25 18:34:59.190246;M;8;0.0;0;;3.1044;c;living_room;living_room
28;2007-10-25 18:35:02.294646;M;9;0.0;0;;11.04894;c;living_room;living_room
29;2007-10-25 18:35:13.343586;M;15;1.0;15;3.72996;0.40986500000000003;s;living_room;living_room
30;2007-10-25 18:35:13.753451;M;16;1.0;16;4.160914;1.3038450000000001;s;kitchen;kitchen
31;2007-10-25 18:35:15.057296;M;17;1.0;17;19.41354;2.0162500000000003;s;kitchen;kitchen
32;2007-10-25 18:35:17.073546;M;15;0.0;0;;0.8408190000000001;c;living_room;kitchen
33;2007-10-25 18:35:17.914365;M;16;0.0;0;;16.556471000000002;c;kitchen;kitchen
34;2007-10-25 18:35:34.470836;M;17;0.0;0;;0.666813;c;kitchen;kitchen
35;2007-10-25 18:35:35.137649;M;17;1.0;17;14.777559;14.777559;s;kitchen;kitchen
36;2007-10-25 18:35:49.915208;M;17;0.0;0;;2.2787360000000003;c;kitchen;kitchen
37;2007-10-25 18:35:52.193944;M;17;1.0;17;16.833375;16.833375;s;kitchen;kitchen
38;2007-10-25 18:36:09.027319;M;17;0.0;0;;7.979766000000001;c;kitchen;kitchen
39;2007-10-25 18:36:17.007085;M;17;1.0;17;6.570166;6.570166;s;kitchen;kitchen
40;2007-10-25 18:36:23.577251;M;17;0.0;0;;0.149948;c;kitchen;kitchen
41;2007-10-25 18:36:23.727199;M;17;1.0;17;13.302148;13.302148;s;kitchen;kitchen
42;2007-10-25 18:36:37.029347;M;17;0.0;0;;30.149252;c;kitchen;kitchen
43;2007-10-25 18:37:07.178599;M;17;1.0;17;7.037244;1.946814;s;kitchen;kitchen
44;2007-10-25 18:37:09.125413;M;16;1.0;16;4.264373;0.8260620000000001;s;kitchen;kitchen
45;2007-10-25 18:37:09.951475;M;15;1.0;15;4.113709;3.438311;s;living_room;kitchen
46;2007-10-25 18:37:13.389786;M;16;0.0;0;;0.675398;c;kitchen;kitchen
47;2007-10-25 18:37:14.065184;M;15;1.0;15;6.821254000000001;0.15065900000000002;s;living_room;living_room
48;2007-10-25 18:37:14.215843;M;17;0.0;0;;6.6705950000000005;c;kitchen;living_room
49;2007-10-25 18:37:20.886438;M;15;0.0;0;;9.314419000000001;c;living_room;living_room
50;2007-10-25 18:37:30.200857;M;15;1.0;15;3.5220140000000004;0.47086500000000003;s;living_room;living_room
51;2007-10-25 18:37:30.671722;M;16;1.0;16;4.522844;2.4233190000000002;s;kitchen;kitchen
52;2007-10-25 18:37:33.095041;M;17;1.0;17;8.207832;0.62783;s;kitchen;kitchen
53;2007-10-25 18:37:33.722871;M;15;0.0;0;;1.4716950000000002;c;living_room;kitchen
54;2007-10-25 18:37:35.194566;M;16;0.0;0;;6.108307000000001;c;kitchen;kitchen
55;2007-10-25 18:37:41.302873;M;17;0.0;0;;29.936109000000002;c;kitchen;kitchen
56;2007-10-25 18:38:11.238982;M;17;1.0;17;1.8415160000000002;1.8415160000000002;s;kitchen;kitchen
57;2007-10-25 18:38:13.080498;M;17;0.0;0;;6.897493000000001;c;kitchen;kitchen
58;2007-10-25 18:38:19.977991;M;17;1.0;17;9.863535;6.143557;s;kitchen;kitchen
59;2007-10-25 18:38:26.121548;M;18;1.0;18;3.5949850000000003;3.5949850000000003;s;kitchen;kitchen
60;2007-10-25 18:38:29.716533;M;18;0.0;0;;0.124993;c;kitchen;kitchen
61;2007-10-25 18:38:29.841526;M;17;0.0;0;;1.7724870000000001;c;kitchen;kitchen
62;2007-10-25 18:38:31.614013;M;18;1.0;18;6.934075;4.366786;s;kitchen;kitchen
63;2007-10-25 18:38:35.980799;M;17;1.0;17;4.0293660000000004;2.567289;s;kitchen;kitchen
