;Timestamp;SensorType;LC_Activity;Active;Sensor_Added;SensorActivationTime;Duration;LC;room;room_major;Case;Cluster;Routine
1;2007-10-25 18:34:29.754821;M;24;1.0;24;9.672721000000001;1.981165;s;hallway_downstairs;hallway_downstairs;1;0;weekday_
2;2007-10-25 18:34:31.735986;M;25;1.0;25;5.784092;5.440183;s;hallway_downstairs;hallway_downstairs;1;0;weekday_
3;2007-10-25 18:34:37.176169;M;21;1.0;21;1.351634;1.5985630000000002;s;hallway_downstairs;hallway_downstairs;1;0;weekday_
6;2007-10-25 18:34:38.774732;M;19;1.0;19;3.846995;0.19299000000000002;s;hallway_downstairs;hallway_downstairs;1;0;weekday_
7;2007-10-25 18:34:38.967722;M;21;1.0;21;2.351287;1.537517;s;hallway_downstairs;hallway_downstairs;1;0;weekday_
9;2007-10-25 18:34:40.505239;M;18;1.0;18;1.476599;1.026716;s;kitchen;kitchen;2;0;weekday_
11;2007-10-25 18:34:41.531955;M;17;1.0;17;2.6806300000000003;1.6417110000000001;s;kitchen;kitchen;2;0;weekday_
14;2007-10-25 18:34:43.173666;M;16;1.0;16;3.6315690000000003;0.415966;s;kitchen;kitchen;2;0;weekday_
15;2007-10-25 18:34:43.589632;M;15;1.0;15;6.769641;2.53776;s;living_room;living_room;3;0;weekday_
17;2007-10-25 18:34:46.127392;M;14;1.0;14;3.2081630000000003;3.6420570000000003;s;living_room;living_room;3;0;weekday_
20;2007-10-25 18:34:49.769449;M;8;1.0;8;1.577552;0.189943;s;living_room;living_room;3;0;weekday_
21;2007-10-25 18:34:49.959392;M;9;1.0;9;2.08741;7.756874000000001;s;living_room;living_room;3;0;weekday_
25;2007-10-25 18:34:57.716266;M;8;1.0;8;1.47398;0.8290470000000001;s;living_room;living_room;3;0;weekday_
26;2007-10-25 18:34:58.545313;M;9;1.0;9;3.749333;14.798273000000002;s;living_room;living_room;3;0;weekday_
29;2007-10-25 18:35:13.343586;M;15;1.0;15;3.72996;0.40986500000000003;s;living_room;living_room;3;0;weekday_
30;2007-10-25 18:35:13.753451;M;16;1.0;16;4.160914;1.3038450000000001;s;kitchen;kitchen;4;0;weekday_
31;2007-10-25 18:35:15.057296;M;17;1.0;17;19.41354;20.080353000000002;s;kitchen;kitchen;4;0;weekday_
35;2007-10-25 18:35:35.137649;M;17;1.0;17;14.777559;17.056295000000002;s;kitchen;kitchen;4;0;weekday_
37;2007-10-25 18:35:52.193944;M;17;1.0;17;16.833375;24.813141;s;kitchen;kitchen;4;0;weekday_
39;2007-10-25 18:36:17.007085;M;17;1.0;17;6.570166;6.720114000000001;s;kitchen;kitchen;4;0;weekday_
41;2007-10-25 18:36:23.727199;M;17;1.0;17;13.302148;43.4514;s;kitchen;kitchen;4;0;weekday_
43;2007-10-25 18:37:07.178599;M;17;1.0;17;7.037244;1.946814;s;kitchen;kitchen;4;0;weekday_
44;2007-10-25 18:37:09.125413;M;16;1.0;16;4.264373;0.8260620000000001;s;kitchen;kitchen;4;0;weekday_
45;2007-10-25 18:37:09.951475;M;15;1.0;15;10.934963000000002;20.249382;s;living_room;living_room;5;0;weekday_
49;2007-10-25 18:37:30.200857;M;15;1.0;15;3.5220140000000004;0.47086500000000003;s;living_room;living_room;5;0;weekday_
50;2007-10-25 18:37:30.671722;M;16;1.0;16;4.522844;2.4233190000000002;s;kitchen;kitchen;6;0;weekday_
51;2007-10-25 18:37:33.095041;M;17;1.0;17;8.207832;38.143941000000005;s;kitchen;kitchen;6;0;weekday_
55;2007-10-25 18:38:11.238982;M;17;1.0;17;1.8415160000000002;8.739009000000001;s;kitchen;kitchen;6;0;weekday_
57;2007-10-25 18:38:19.977991;M;17;1.0;17;9.863535;6.143557;s;kitchen;kitchen;6;0;weekday_
58;2007-10-25 18:38:26.121548;M;18;1.0;18;3.5949850000000003;5.492465;s;kitchen;kitchen;6;0;weekday_
61;2007-10-25 18:38:31.614013;M;18;1.0;18;6.934075;4.366786;s;kitchen;kitchen;6;0;weekday_
62;2007-10-25 18:38:35.980799;M;17;1.0;17;4.0293660000000004;10.826989000000001;s;kitchen;kitchen;6;0;weekday_
65;2007-10-25 18:38:46.807788;M;17;1.0;17;5.570464;6.714157;s;kitchen;kitchen;6;0;weekday_
67;2007-10-25 18:38:53.521945;M;17;1.0;17;3.505147;4.4107590000000005;s;kitchen;kitchen;6;0;weekday_
69;2007-10-25 18:38:57.932704;M;17;1.0;17;1.089717;1.2476690000000001;s;kitchen;kitchen;6;0;weekday_
71;2007-10-25 18:38:59.180373;M;17;1.0;17;2.387521;6.246851;s;kitchen;kitchen;6;0;weekday_
73;2007-10-25 18:39:05.427224;M;17;1.0;17;12.371303000000001;16.21229;s;kitchen;kitchen;6;0;weekday_
75;2007-10-25 18:39:21.639514;M;17;1.0;17;1.6585610000000002;3.448087;s;kitchen;kitchen;6;0;weekday_
77;2007-10-25 18:39:25.087601;M;17;1.0;17;2.676561;7.288566;s;kitchen;kitchen;6;0;weekday_
79;2007-10-25 18:39:32.376167;M;17;1.0;17;10.413147;6.629815000000001;s;kitchen;kitchen;6;0;weekday_
80;2007-10-25 18:39:39.005982;M;15;1.0;15;6.272622;0.208342;s;living_room;kitchen;6;0;weekday_
81;2007-10-25 18:39:39.214324;M;16;1.0;16;5.086587000000001;1.7255090000000002;s;kitchen;living_room;7;1;weekday_
82;2007-10-25 18:39:40.939833;M;9;1.0;9;3.117548;0.14697200000000002;s;living_room;living_room;7;1;weekday_
83;2007-10-25 18:39:41.086805;M;8;1.0;8;4.9355910000000005;1.074672;s;living_room;living_room;7;1;weekday_
84;2007-10-25 18:39:42.161477;M;7;1.0;7;3.557001;0.7528170000000001;s;living_room;living_room;7;1;weekday_
86;2007-10-25 18:39:42.914294;M;6;1.0;6;5.693384;1.512561;s;living_room;living_room;7;1;weekday_
89;2007-10-25 18:39:44.426855;M;5;1.0;5;9.316501;19.625484;s;living_room;living_room;7;1;weekday_
95;2007-10-25 18:40:04.052339;M;6;1.0;6;3.076314;0.710976;s;living_room;living_room;7;1;weekday_
96;2007-10-25 18:40:04.763315;M;5;1.0;5;6.306319;12.940034;s;living_room;living_room;7;1;weekday_
99;2007-10-25 18:40:17.703349;M;5;1.0;5;1.709516;22.141126;s;living_room;living_room;7;1;weekday_
101;2007-10-25 18:40:39.844475;M;5;1.0;5;10.717112;47.368621000000005;s;living_room;living_room;7;1;weekday_
103;2007-10-25 18:41:27.213096;M;5;1.0;5;4.0141160000000005;40.302251000000005;s;living_room;living_room;7;1;weekday_
105;2007-10-25 18:42:07.515347;M;5;1.0;5;8.417662;0.595828;s;living_room;living_room;7;1;weekday_
106;2007-10-25 18:42:08.111175;M;6;1.0;6;0.985708;2.8192090000000003;s;living_room;living_room;7;1;weekday_
108;2007-10-25 18:42:10.930384;M;6;1.0;6;2.4803070000000003;5.479480000000001;s;living_room;living_room;7;1;weekday_
111;2007-10-25 18:42:16.409864;M;5;1.0;5;5.523540000000001;0.758808;s;living_room;living_room;7;1;weekday_
112;2007-10-25 18:42:17.168672;M;6;1.0;6;4.264869;6.078484;s;living_room;living_room;7;1;weekday_
115;2007-10-25 18:42:23.247156;M;5;1.0;5;10.369659;0.823667;s;living_room;living_room;7;1;weekday_
116;2007-10-25 18:42:24.070823;M;6;1.0;6;5.579123;10.298771;s;living_room;living_room;7;1;weekday_
119;2007-10-25 18:42:34.369594;M;5;1.0;5;1.061695;1.461597;s;living_room;living_room;7;1;weekday_
