;Quantity 0;Quantity 1;Quantity 2;Quantity 3;Quantity 4;Quantity 5;Quantity 6;Quantity 7;Quantity 8;Quantity 9;Quantity 10;Quantity 11;Quantity 12;Quantity 13;Quantity 14;Quantity 15;Quantity 16;Quantity 17;Quantity 18;Quantity 19;Quantity 20;Quantity 21;Quantity 22;Quantity 23;Quantity 24;Quantity 25;Quantity 26;Quantity 27;Quantity 28;Quantity 29;Quantity 30;Quantity 31;Quantity 32;Quantity 33;Quantity 34;Quantity 35;Cluster
0;2;0;0;0;5;9;6;8;6;2;3;0;0;1;6;4;7;1;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1;0;2;0;0;3;7;8;8;6;0;1;0;0;8;5;4;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;3;1;0;1;6;11;8;5;0;0;0;0;5;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;0;7;7;1;1;3;9;7;4;0;0;0;1;3;5;10;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;0;3;4;0;11;2;11;4;8;3;0;0;0;0;4;5;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0;0;0;0;7;6;6;8;10;5;0;0;2;6;8;11;6;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;0;5;16;0;1;9;12;6;5;1;2;0;1;1;4;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;1;0;0;0;0;6;10;9;10;2;3;0;1;2;3;5;5;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;1;15;2;0;0;0;14;10;5;0;0;0;0;0;6;5;7;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;2;0;0;0;0;3;5;10;9;2;5;0;0;2;4;11;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;1;3;1;0;4;10;11;7;6;10;3;0;0;1;2;3;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;1;1;1;0;5;8;2;5;7;5;2;0;0;2;1;2;13;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;0;0;0;0;11;4;7;9;8;3;0;0;0;1;2;6;10;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;0;3;5;0;11;5;4;5;7;6;0;0;2;5;4;9;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
14;0;1;1;0;2;5;1;1;3;16;3;0;0;0;1;15;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;0;3;1;0;2;4;5;5;5;0;7;0;0;1;11;10;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;2;1;0;0;0;9;6;4;6;1;0;0;9;7;8;10;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;4;0;0;0;0;2;8;4;9;3;3;0;0;2;1;10;6;0;0;3;4;4;3;3;2;3;2;2;0;0;0;0;0;0;0;3;0
18;0;0;0;0;1;3;4;6;7;0;0;0;2;5;3;9;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;0;0;0;0;0;4;0;0;13;5;4;0;5;0;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;6;8;8;0;0;3;9;7;7;3;2;1;2;6;7;8;7;5;4;7;6;6;5;5;2;2;1;2;1;0;0;0;0;0;0;2;0
21;2;3;3;2;0;0;4;5;7;0;6;0;0;4;5;9;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
